variable,expression,result
T,\arcsin (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( T ) )  ^ { 2 } } }
T,\arccos (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( T ) )  ^ { 2 } } }
T,\arctan (  ( \arctan ( T ) )  ),(  \frac { 1 } { 1 + T ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( T ) )  ^ { 2 } }
T, ( \arctan ( T ) )  + m,(  \frac { 1 } { 1 + T ^ { 2 } } ) 1
T,f -  ( \arctan ( T ) ) ,(  \frac { 1 } { 1 + T ^ { 2 } } ) - 1
T, ( \arctan ( T ) )  K,(  \frac { 1 } { 1 + T ^ { 2 } } ) K
T,\frac { 1 } {  ( \arctan ( T ) )  + \Sigma },(  \frac { 1 } { 1 + T ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( T ) )  + \Sigma ) ^ { 2 } }
T,\frac { 1 } { j -  ( \arctan ( T ) )  },(  \frac { 1 } { 1 + T ^ { 2 } } ) \frac { 1 } { ( j -  ( \arctan ( T ) )  ) ^ { 2 } }
U, ( \arctan ( U ) )  ^ { k },(  \frac { 1 } { 1 + U ^ { 2 } } ) k  ( \arctan ( U ) )  ^ { k - 1 }
U, ( \arctan ( U ) )  ^ { 0 },(  \frac { 1 } { 1 + U ^ { 2 } } ) 0
U,M ^ {  ( \arctan ( U ) )  },(  \frac { 1 } { 1 + U ^ { 2 } } ) M ^ {  ( \arctan ( U ) )  } \ln ( M )
U,e ^ {  ( \arctan ( U ) )  },(  \frac { 1 } { 1 + U ^ { 2 } } ) e ^ {  ( \arctan ( U ) )  }
U,\exp (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \exp (  ( \arctan ( U ) )  )
U,\ln (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \frac { 1 } {  ( \arctan ( U ) )  }
U,\log _ { \varpi } (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \frac { 1 } {  ( \arctan ( U ) )  \ln ( { \varpi } ) }
U,\sin (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \cos (  ( \arctan ( U ) )  )
U,\cos (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) - \sin (  ( \arctan ( U ) )  )
U,\tan (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( U ) )  ) }
U,\cot (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( U ) )  ) }
U,\arcsin (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( U ) )  ^ { 2 } } }
U,\arccos (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( U ) )  ^ { 2 } } }
U,\arctan (  ( \arctan ( U ) )  ),(  \frac { 1 } { 1 + U ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( U ) )  ^ { 2 } }
U, ( \arctan ( U ) )  + F,(  \frac { 1 } { 1 + U ^ { 2 } } ) 1
U,\varepsilon -  ( \arctan ( U ) ) ,(  \frac { 1 } { 1 + U ^ { 2 } } ) - 1
U, ( \arctan ( U ) )  m,(  \frac { 1 } { 1 + U ^ { 2 } } ) m
U,\frac { 1 } {  ( \arctan ( U ) )  + c },(  \frac { 1 } { 1 + U ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( U ) )  + c ) ^ { 2 } }
U,\frac { 1 } { 5 -  ( \arctan ( U ) )  },(  \frac { 1 } { 1 + U ^ { 2 } } ) \frac { 1 } { ( 5 -  ( \arctan ( U ) )  ) ^ { 2 } }
V, ( \arctan ( V ) )  ^ { \chi },(  \frac { 1 } { 1 + V ^ { 2 } } ) \chi  ( \arctan ( V ) )  ^ { \chi - 1 }
V, ( \arctan ( V ) )  ^ { 0 },(  \frac { 1 } { 1 + V ^ { 2 } } ) 0
V,\varrho ^ {  ( \arctan ( V ) )  },(  \frac { 1 } { 1 + V ^ { 2 } } ) \varrho ^ {  ( \arctan ( V ) )  } \ln ( \varrho )
V,e ^ {  ( \arctan ( V ) )  },(  \frac { 1 } { 1 + V ^ { 2 } } ) e ^ {  ( \arctan ( V ) )  }
V,\exp (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \exp (  ( \arctan ( V ) )  )
V,\ln (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \frac { 1 } {  ( \arctan ( V ) )  }
V,\log _ { \sigma } (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \frac { 1 } {  ( \arctan ( V ) )  \ln ( { \sigma } ) }
V,\sin (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \cos (  ( \arctan ( V ) )  )
V,\cos (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) - \sin (  ( \arctan ( V ) )  )
V,\tan (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( V ) )  ) }
V,\cot (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( V ) )  ) }
V,\arcsin (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( V ) )  ^ { 2 } } }
V,\arccos (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( V ) )  ^ { 2 } } }
V,\arctan (  ( \arctan ( V ) )  ),(  \frac { 1 } { 1 + V ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( V ) )  ^ { 2 } }
V, ( \arctan ( V ) )  + \Sigma,(  \frac { 1 } { 1 + V ^ { 2 } } ) 1
V,Z -  ( \arctan ( V ) ) ,(  \frac { 1 } { 1 + V ^ { 2 } } ) - 1
V, ( \arctan ( V ) )  H,(  \frac { 1 } { 1 + V ^ { 2 } } ) H
V,\frac { 1 } {  ( \arctan ( V ) )  + 3 },(  \frac { 1 } { 1 + V ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( V ) )  + 3 ) ^ { 2 } }
V,\frac { 1 } { \theta -  ( \arctan ( V ) )  },(  \frac { 1 } { 1 + V ^ { 2 } } ) \frac { 1 } { ( \theta -  ( \arctan ( V ) )  ) ^ { 2 } }
W, ( \arctan ( W ) )  ^ { d },(  \frac { 1 } { 1 + W ^ { 2 } } ) d  ( \arctan ( W ) )  ^ { d - 1 }
W, ( \arctan ( W ) )  ^ { 0 },(  \frac { 1 } { 1 + W ^ { 2 } } ) 0
W,\psi ^ {  ( \arctan ( W ) )  },(  \frac { 1 } { 1 + W ^ { 2 } } ) \psi ^ {  ( \arctan ( W ) )  } \ln ( \psi )
W,e ^ {  ( \arctan ( W ) )  },(  \frac { 1 } { 1 + W ^ { 2 } } ) e ^ {  ( \arctan ( W ) )  }
W,\exp (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \exp (  ( \arctan ( W ) )  )
W,\ln (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \frac { 1 } {  ( \arctan ( W ) )  }
W,\log _ { \varrho } (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \frac { 1 } {  ( \arctan ( W ) )  \ln ( { \varrho } ) }
W,\sin (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \cos (  ( \arctan ( W ) )  )
W,\cos (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) - \sin (  ( \arctan ( W ) )  )
W,\tan (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( W ) )  ) }
W,\cot (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( W ) )  ) }
W,\arcsin (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( W ) )  ^ { 2 } } }
W,\arccos (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( W ) )  ^ { 2 } } }
W,\arctan (  ( \arctan ( W ) )  ),(  \frac { 1 } { 1 + W ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( W ) )  ^ { 2 } }
W, ( \arctan ( W ) )  + w,(  \frac { 1 } { 1 + W ^ { 2 } } ) 1
W,\varrho -  ( \arctan ( W ) ) ,(  \frac { 1 } { 1 + W ^ { 2 } } ) - 1
W, ( \arctan ( W ) )  6,(  \frac { 1 } { 1 + W ^ { 2 } } ) 6
W,\frac { 1 } {  ( \arctan ( W ) )  + 0 },(  \frac { 1 } { 1 + W ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( W ) )  + 0 ) ^ { 2 } }
W,\frac { 1 } { i -  ( \arctan ( W ) )  },(  \frac { 1 } { 1 + W ^ { 2 } } ) \frac { 1 } { ( i -  ( \arctan ( W ) )  ) ^ { 2 } }
X, ( \arctan ( X ) )  ^ { R },(  \frac { 1 } { 1 + X ^ { 2 } } ) R  ( \arctan ( X ) )  ^ { R - 1 }
X, ( \arctan ( X ) )  ^ { 0 },(  \frac { 1 } { 1 + X ^ { 2 } } ) 0
X,W ^ {  ( \arctan ( X ) )  },(  \frac { 1 } { 1 + X ^ { 2 } } ) W ^ {  ( \arctan ( X ) )  } \ln ( W )
X,e ^ {  ( \arctan ( X ) )  },(  \frac { 1 } { 1 + X ^ { 2 } } ) e ^ {  ( \arctan ( X ) )  }
X,\exp (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \exp (  ( \arctan ( X ) )  )
X,\ln (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \frac { 1 } {  ( \arctan ( X ) )  }
X,\log _ { \zeta } (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \frac { 1 } {  ( \arctan ( X ) )  \ln ( { \zeta } ) }
X,\sin (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \cos (  ( \arctan ( X ) )  )
X,\cos (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) - \sin (  ( \arctan ( X ) )  )
X,\tan (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( X ) )  ) }
X,\cot (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( X ) )  ) }
X,\arcsin (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( X ) )  ^ { 2 } } }
X,\arccos (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( X ) )  ^ { 2 } } }
X,\arctan (  ( \arctan ( X ) )  ),(  \frac { 1 } { 1 + X ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( X ) )  ^ { 2 } }
X, ( \arctan ( X ) )  + Z,(  \frac { 1 } { 1 + X ^ { 2 } } ) 1
X,z -  ( \arctan ( X ) ) ,(  \frac { 1 } { 1 + X ^ { 2 } } ) - 1
X, ( \arctan ( X ) )  u,(  \frac { 1 } { 1 + X ^ { 2 } } ) u
X,\frac { 1 } {  ( \arctan ( X ) )  + F },(  \frac { 1 } { 1 + X ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( X ) )  + F ) ^ { 2 } }
X,\frac { 1 } { L -  ( \arctan ( X ) )  },(  \frac { 1 } { 1 + X ^ { 2 } } ) \frac { 1 } { ( L -  ( \arctan ( X ) )  ) ^ { 2 } }
Y, ( \arctan ( Y ) )  ^ { q },(  \frac { 1 } { 1 + Y ^ { 2 } } ) q  ( \arctan ( Y ) )  ^ { q - 1 }
Y, ( \arctan ( Y ) )  ^ { 0 },(  \frac { 1 } { 1 + Y ^ { 2 } } ) 0
Y,E ^ {  ( \arctan ( Y ) )  },(  \frac { 1 } { 1 + Y ^ { 2 } } ) E ^ {  ( \arctan ( Y ) )  } \ln ( E )
Y,e ^ {  ( \arctan ( Y ) )  },(  \frac { 1 } { 1 + Y ^ { 2 } } ) e ^ {  ( \arctan ( Y ) )  }
Y,\exp (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \exp (  ( \arctan ( Y ) )  )
Y,\ln (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \frac { 1 } {  ( \arctan ( Y ) )  }
Y,\log _ { K } (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \frac { 1 } {  ( \arctan ( Y ) )  \ln ( { K } ) }
Y,\sin (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \cos (  ( \arctan ( Y ) )  )
Y,\cos (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) - \sin (  ( \arctan ( Y ) )  )
Y,\tan (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( Y ) )  ) }
Y,\cot (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( Y ) )  ) }
Y,\arcsin (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( Y ) )  ^ { 2 } } }
Y,\arccos (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( Y ) )  ^ { 2 } } }
Y,\arctan (  ( \arctan ( Y ) )  ),(  \frac { 1 } { 1 + Y ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( Y ) )  ^ { 2 } }
Y, ( \arctan ( Y ) )  + \Phi,(  \frac { 1 } { 1 + Y ^ { 2 } } ) 1
Y,n -  ( \arctan ( Y ) ) ,(  \frac { 1 } { 1 + Y ^ { 2 } } ) - 1
Y, ( \arctan ( Y ) )  E,(  \frac { 1 } { 1 + Y ^ { 2 } } ) E
Y,\frac { 1 } {  ( \arctan ( Y ) )  + K },(  \frac { 1 } { 1 + Y ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( Y ) )  + K ) ^ { 2 } }
Y,\frac { 1 } {  -  ( \arctan ( Y ) )  },(  \frac { 1 } { 1 + Y ^ { 2 } } ) \frac { 1 } { (  -  ( \arctan ( Y ) )  ) ^ { 2 } }
Z, ( \arctan ( Z ) )  ^ { l },(  \frac { 1 } { 1 + Z ^ { 2 } } ) l  ( \arctan ( Z ) )  ^ { l - 1 }
Z, ( \arctan ( Z ) )  ^ { 0 },(  \frac { 1 } { 1 + Z ^ { 2 } } ) 0
Z,y ^ {  ( \arctan ( Z ) )  },(  \frac { 1 } { 1 + Z ^ { 2 } } ) y ^ {  ( \arctan ( Z ) )  } \ln ( y )
Z,e ^ {  ( \arctan ( Z ) )  },(  \frac { 1 } { 1 + Z ^ { 2 } } ) e ^ {  ( \arctan ( Z ) )  }
Z,\exp (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \exp (  ( \arctan ( Z ) )  )
Z,\ln (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \frac { 1 } {  ( \arctan ( Z ) )  }
Z,\log _ { \mu } (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \frac { 1 } {  ( \arctan ( Z ) )  \ln ( { \mu } ) }
Z,\sin (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \cos (  ( \arctan ( Z ) )  )
Z,\cos (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) - \sin (  ( \arctan ( Z ) )  )
Z,\tan (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( Z ) )  ) }
Z,\cot (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( Z ) )  ) }
Z,\arcsin (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( Z ) )  ^ { 2 } } }
Z,\arccos (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( Z ) )  ^ { 2 } } }
Z,\arctan (  ( \arctan ( Z ) )  ),(  \frac { 1 } { 1 + Z ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( Z ) )  ^ { 2 } }
Z, ( \arctan ( Z ) )  + s,(  \frac { 1 } { 1 + Z ^ { 2 } } ) 1
Z,\nu -  ( \arctan ( Z ) ) ,(  \frac { 1 } { 1 + Z ^ { 2 } } ) - 1
Z, ( \arctan ( Z ) )  \vartheta,(  \frac { 1 } { 1 + Z ^ { 2 } } ) \vartheta
Z,\frac { 1 } {  ( \arctan ( Z ) )  + l },(  \frac { 1 } { 1 + Z ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( Z ) )  + l ) ^ { 2 } }
Z,\frac { 1 } { Y -  ( \arctan ( Z ) )  },(  \frac { 1 } { 1 + Z ^ { 2 } } ) \frac { 1 } { ( Y -  ( \arctan ( Z ) )  ) ^ { 2 } }
\Delta, ( \arctan ( \Delta ) )  ^ { U },(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) U  ( \arctan ( \Delta ) )  ^ { U - 1 }
\Delta, ( \arctan ( \Delta ) )  ^ { 0 },(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) 0
\Delta,J ^ {  ( \arctan ( \Delta ) )  },(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) J ^ {  ( \arctan ( \Delta ) )  } \ln ( J )
\Delta,e ^ {  ( \arctan ( \Delta ) )  },(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) e ^ {  ( \arctan ( \Delta ) )  }
\Delta,\exp (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \exp (  ( \arctan ( \Delta ) )  )
\Delta,\ln (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \frac { 1 } {  ( \arctan ( \Delta ) )  }
\Delta,\log _ { A } (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \frac { 1 } {  ( \arctan ( \Delta ) )  \ln ( { A } ) }
\Delta,\sin (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \cos (  ( \arctan ( \Delta ) )  )
\Delta,\cos (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) - \sin (  ( \arctan ( \Delta ) )  )
\Delta,\tan (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( \Delta ) )  ) }
\Delta,\cot (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( \Delta ) )  ) }
\Delta,\arcsin (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( \Delta ) )  ^ { 2 } } }
\Delta,\arccos (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( \Delta ) )  ^ { 2 } } }
\Delta,\arctan (  ( \arctan ( \Delta ) )  ),(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( \Delta ) )  ^ { 2 } }
\Delta, ( \arctan ( \Delta ) )  + 3,(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) 1
\Delta,8 -  ( \arctan ( \Delta ) ) ,(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) - 1
\Delta, ( \arctan ( \Delta ) )  t,(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) t
\Delta,\frac { 1 } {  ( \arctan ( \Delta ) )  + E },(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( \Delta ) )  + E ) ^ { 2 } }
\Delta,\frac { 1 } { \epsilon -  ( \arctan ( \Delta ) )  },(  \frac { 1 } { 1 + \Delta ^ { 2 } } ) \frac { 1 } { ( \epsilon -  ( \arctan ( \Delta ) )  ) ^ { 2 } }
\Gamma, ( \arctan ( \Gamma ) )  ^ { \tau },(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \tau  ( \arctan ( \Gamma ) )  ^ { \tau - 1 }
\Gamma, ( \arctan ( \Gamma ) )  ^ { 0 },(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) 0
\Gamma,\mu ^ {  ( \arctan ( \Gamma ) )  },(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \mu ^ {  ( \arctan ( \Gamma ) )  } \ln ( \mu )
\Gamma,e ^ {  ( \arctan ( \Gamma ) )  },(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) e ^ {  ( \arctan ( \Gamma ) )  }
\Gamma,\exp (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \exp (  ( \arctan ( \Gamma ) )  )
\Gamma,\ln (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \frac { 1 } {  ( \arctan ( \Gamma ) )  }
\Gamma,\log _ { \varpi } (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \frac { 1 } {  ( \arctan ( \Gamma ) )  \ln ( { \varpi } ) }
\Gamma,\sin (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \cos (  ( \arctan ( \Gamma ) )  )
\Gamma,\cos (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) - \sin (  ( \arctan ( \Gamma ) )  )
\Gamma,\tan (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( \Gamma ) )  ) }
\Gamma,\cot (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( \Gamma ) )  ) }
\Gamma,\arcsin (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( \Gamma ) )  ^ { 2 } } }
\Gamma,\arccos (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) - \frac { 1 } { \sqrt { 1 -  ( \arctan ( \Gamma ) )  ^ { 2 } } }
\Gamma,\arctan (  ( \arctan ( \Gamma ) )  ),(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \frac { 1 } { 1 +  ( \arctan ( \Gamma ) )  ^ { 2 } }
\Gamma, ( \arctan ( \Gamma ) )  + m,(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) 1
\Gamma,\Psi -  ( \arctan ( \Gamma ) ) ,(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) - 1
\Gamma, ( \arctan ( \Gamma ) )  S,(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) S
\Gamma,\frac { 1 } {  ( \arctan ( \Gamma ) )  + i },(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) - \frac { 1 } { (  ( \arctan ( \Gamma ) )  + i ) ^ { 2 } }
\Gamma,\frac { 1 } { \lambda -  ( \arctan ( \Gamma ) )  },(  \frac { 1 } { 1 + \Gamma ^ { 2 } } ) \frac { 1 } { ( \lambda -  ( \arctan ( \Gamma ) )  ) ^ { 2 } }
\Lambda, ( \arctan ( \Lambda ) )  ^ { \Sigma },(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \Sigma  ( \arctan ( \Lambda ) )  ^ { \Sigma - 1 }
\Lambda, ( \arctan ( \Lambda ) )  ^ { 0 },(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) 0
\Lambda,c ^ {  ( \arctan ( \Lambda ) )  },(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) c ^ {  ( \arctan ( \Lambda ) )  } \ln ( c )
\Lambda,e ^ {  ( \arctan ( \Lambda ) )  },(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) e ^ {  ( \arctan ( \Lambda ) )  }
\Lambda,\exp (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \exp (  ( \arctan ( \Lambda ) )  )
\Lambda,\ln (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \frac { 1 } {  ( \arctan ( \Lambda ) )  }
\Lambda,\log _ { \sigma } (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \frac { 1 } {  ( \arctan ( \Lambda ) )  \ln ( { \sigma } ) }
\Lambda,\sin (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \cos (  ( \arctan ( \Lambda ) )  )
\Lambda,\cos (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) - \sin (  ( \arctan ( \Lambda ) )  )
\Lambda,\tan (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \frac { 1 } { \cos ^ { 2 } (  ( \arctan ( \Lambda ) )  ) }
\Lambda,\cot (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) - \frac { 1 } { \sin ^ { 2 } (  ( \arctan ( \Lambda ) )  ) }
\Lambda,\arcsin (  ( \arctan ( \Lambda ) )  ),(  \frac { 1 } { 1 + \Lambda ^ { 2 } } ) \frac { 1 } { \sqrt { 1 -  ( \arctan ( \Lambda ) )  ^ { 2 } } }
